File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8986109,2.938,236,164
DNACorpus2/EsCo,4641652,1621508,2.863,42,30
DNACorpus2/GaGa,148532294,52441876,2.832,1404,974
DNACorpus2/HaHi,3890005,1324571,2.937,37,25
DNACorpus2/DaRe,62565020,21182510,2.954,639,389
DNACorpus2/HePy,1667825,572507,2.913,17,11
DNACorpus2/HoSa,189752667,63973137,2.966,1968,1164
DNACorpus2/DrMe,32181429,11150498,2.886,333,208
DNACorpus2/ScPo,10652155,3691943,2.885,95,68
DNACorpus2/BuEb,18940,9894,1.914,0,0
DNACorpus2/OrSa,43262523,15008736,2.882,440,279
DNACorpus2/AgPh,43970,20885,2.105,0,1
DNACorpus2/YeMi,73689,31700,2.325,1,1
DNACorpus2/AeCa,1591049,561527,2.833,16,11
DNACorpus2/PlFa,8986712,2972072,3.024,94,54
