File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/YeMi,73689,27235,2.706,9,3
DNACorpus2/DaRe,62565020,19586457,3.194,14940,1880
DNACorpus2/EnIn,26403087,8609993,3.067,5401,769
DNACorpus2/HePy,1667825,566972,2.942,144,40
DNACorpus2/OrSa,43262523,14148071,3.058,9782,1344
DNACorpus2/EsCo,4641652,1593404,2.913,569,118
DNACorpus2/GaGa,148532294,46851765,3.17,41060,4787
DNACorpus2/ScPo,10652155,3590856,2.966,1738,292
DNACorpus2/HaHi,3890005,1306708,2.977,444,97
DNACorpus2/HoSa,189752667,57200209,3.317,53774,5854
DNACorpus2/AeCa,1591049,556535,2.859,139,40
DNACorpus2/DrMe,32181429,10619042,3.031,7188,1009
DNACorpus2/BuEb,18940,7893,2.4,2,1
DNACorpus2/PlFa,8986712,2895744,3.103,1352,237
DNACorpus2/AgPh,43970,17442,2.521,5,2
